Test Number,Type,Test Name,URL,Execution Time,Result
TC-001,UI,verifyAboutPage,https://demo.pmibdchapter.org/admin/about-page,53023 ms,PASSED
TC-002,UI,verifyAcademicPage,https://demo.pmibdchapter.org/admin/academic-outreach-page,32328 ms,PASSED
TC-003,UI,verifyAdminEvents,https://demo.pmibdchapter.org/admin/events,35346 ms,PASSED
TC-004,UI,verifyAdminMedia,https://demo.pmibdchapter.org/admin/media,38598 ms,PASSED
TC-005,UI,verifyAdminMenuBuilder,https://demo.pmibdchapter.org/admin/menus/menu,34060 ms,PASSED
TC-006,UI,verifyAdminMenus,https://demo.pmibdchapter.org/admin/menus,30592 ms,PASSED
TC-007,UI,verifyAnnouncementPage,https://demo.pmibdchapter.org/announcement,30484 ms,PASSED
TC-008,UI,verifyAwardsList,https://demo.pmibdchapter.org/admin/awards,30809 ms,PASSED
TC-009,UI,verifyAwardsPage,https://demo.pmibdchapter.org/admin/awards-page,33372 ms,PASSED
TC-010,UI,verifyBannerPage,https://demo.pmibdchapter.org/banner,30248 ms,PASSED
TC-011,UI,verifyBoardMembers,https://demo.pmibdchapter.org/admin/board-members,32271 ms,PASSED
TC-012,UI,verifyCalendar,https://demo.pmibdchapter.org/calendar,31469 ms,PASSED
TC-013,UI,verifyCheckIn,https://demo.pmibdchapter.org/check-in,30293 ms,PASSED
TC-014,UI,verifyClubMembers,https://demo.pmibdchapter.org/club-members,31589 ms,PASSED
TC-015,UI,verifyContactPage,https://demo.pmibdchapter.org/admin/contact-page,31216 ms,PASSED
TC-016,UI,verifyCorporatePage,https://demo.pmibdchapter.org/admin/corporate-outreach-page,33394 ms,PASSED
TC-017,UI,verifyCorporateOutreach,https://demo.pmibdchapter.org/corporate-outreach-enquiries,30412 ms,PASSED
TC-018,UI,verifyEnquiryPage,https://demo.pmibdchapter.org/enquiry,34643 ms,PASSED
TC-019,UI,verifyEventRegistrations,https://demo.pmibdchapter.org/event-registrations,34276 ms,PASSED
TC-020,UI,verifyFiveYearClub,https://demo.pmibdchapter.org/admin/club-pages/five-year/edit,31392 ms,PASSED
TC-021,UI,verifyHomePage,https://demo.pmibdchapter.org/admin/home-page,35487 ms,PASSED
TC-022,UI,verifyJobApplications,https://demo.pmibdchapter.org/admin/job-applications,36395 ms,PASSED
TC-023,UI,verifyJobPostings,https://demo.pmibdchapter.org/admin/job-postings,34235 ms,PASSED
TC-024,UI,verifyMentorshipPage,https://demo.pmibdchapter.org/admin/mentorship-page,31721 ms,PASSED
TC-025,UI,verifyMentorshipApplications,https://demo.pmibdchapter.org/mentorship-applications,30799 ms,PASSED
TC-026,UI,verifyMentorshipProgrammeSettings,https://demo.pmibdchapter.org/mentorship-programme-settings,36011 ms,PASSED
TC-027,UI,verifyMentorshipPage,https://demo.pmibdchapter.org/mentorship-applications,40787 ms,PASSED
TC-028,UI,verifyMentors,https://demo.pmibdchapter.org/mentors,31598 ms,PASSED
TC-029,UI,verifyPastEvents,https://demo.pmibdchapter.org/admin/past-events,36663 ms,PASSED
TC-030,UI,verifyPastPresidents,https://demo.pmibdchapter.org/admin/past-presidents,35881 ms,PASSED
TC-031,UI,verifyPMILogin,https://demo.pmibdchapter.org/dashboard,36785 ms,PASSED
TC-032,UI,verifyPMIMembers,https://demo.pmibdchapter.org/pmi-members,31681 ms,PASSED
TC-033,UI,verifyRolesPage,https://demo.pmibdchapter.org/roles,30902 ms,PASSED
TC-034,UI,verifySpeakerPage,https://demo.pmibdchapter.org/admin/speaker-opportunities-page,41755 ms,PASSED
TC-035,UI,verifySponsorshipPage,https://demo.pmibdchapter.org/admin/sponsorship-branding-page,35887 ms,PASSED
TC-036,UI,verifyTenYearClub,https://demo.pmibdchapter.org/admin/club-pages/ten-year/edit,32518 ms,PASSED
TC-037,UI,verifyUsersPage,https://demo.pmibdchapter.org/users,36125 ms,PASSED
TC-038,UI,verifyVolunteerApplications,https://demo.pmibdchapter.org/volunteer-applications,36314 ms,PASSED
TC-039,UI,verifyVolunteerPage,https://demo.pmibdchapter.org/admin/volunteer-page,33157 ms,PASSED
TC-040,UI,verifyWhyJoinPage,https://demo.pmibdchapter.org/admin/why-join-page,35241 ms,PASSED
